state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
AK,4/10/2021,2,2,45,43,0,0
AL,4/10/2021,25,27,408,334,12,5
AR,4/10/2021,18,21,187,132,5,0
AZ,4/10/2021,23,25,568,356,15,9
CA,4/10/2021,68,81,"2,130","1,848",46,35
CO,4/10/2021,7,6,467,421,19,9
CT,4/10/2021,4,4,585,522,10,5
DC,4/10/2021,0,0,168,132,17,7
DE,4/10/2021,0,0,189,144,10,5
FL,4/10/2021,8,28,"3,490","3,131",57,37
GA,4/10/2021,31,36,"1,396","1,104",32,7
HI,4/10/2021,1,2,63,52,3,0
IA,4/10/2021,2,2,226,214,4,4
ID,4/10/2021,4,4,160,140,2,1
IL,4/10/2021,10,10,"1,837","1,578",31,17
IN,4/10/2021,11,11,866,574,23,6
KS,4/10/2021,12,13,167,146,4,1
KY,4/10/2021,0,4,389,324,18,4
LA,4/10/2021,42,46,266,325,7,2
MA,4/10/2021,11,10,621,519,22,12
MD,4/10/2021,5,2,"1,468","1,212",18,12
ME,4/10/2021,4,2,81,68,2,1
MI,4/10/2021,14,16,"3,791","3,621",58,41
MN,4/10/2021,14,14,706,609,13,9
MO,4/10/2021,24,27,753,500,38,9
MS,4/10/2021,10,12,243,179,11,4
MT,4/10/2021,6,6,46,47,0,0
NC,4/10/2021,3,5,"1,006",920,30,21
ND,4/10/2021,12,12,98,67,4,0
NE,4/10/2021,7,13,196,182,4,4
NH,4/10/2021,3,4,118,103,2,1
NJ,4/10/2021,8,8,"2,404","2,229",33,6
NM,4/10/2021,15,17,123,115,7,2
NV,4/10/2021,0,0,309,270,3,2
NY,4/10/2021,4,4,"4,958","4,437",89,51
OH,4/10/2021,11,17,"1,536","1,184",116,20
OK,4/10/2021,27,30,250,201,27,26
OR,4/10/2021,2,2,229,157,9,6
PA,4/10/2021,19,24,"2,842","2,464",47,26
PR,4/10/2021,4,6,334,288,38,20
RI,4/10/2021,4,4,185,149,2,2
SC,4/10/2021,21,21,516,468,6,6
SD,4/10/2021,0,1,98,74,4,2
TN,4/10/2021,11,30,725,667,10,8
TX,4/10/2021,99,116,"3,268","2,790",89,39
UT,4/10/2021,0,0,133,129,6,0
VA,4/10/2021,15,19,"1,053",912,15,11
VI,4/10/2021,2,2,5,5,0,0
VT,4/10/2021,1,1,30,26,0,0
WA,4/10/2021,9,8,625,393,45,6
WI,4/10/2021,10,13,361,328,11,3
WV,4/10/2021,12,15,297,278,5,3
WY,4/10/2021,2,4,24,19,1,1
AK,4/9/2021,2,2,45,43,0,0
AL,4/9/2021,25,27,408,334,12,5
AR,4/9/2021,18,21,187,132,5,0
AZ,4/9/2021,23,25,568,356,15,9
CA,4/9/2021,68,81,"2,130","1,848",46,35
CO,4/9/2021,7,6,467,421,19,9
CT,4/9/2021,4,4,585,522,10,5
DC,4/9/2021,0,0,168,132,17,7
DE,4/9/2021,0,0,189,144,10,5
FL,4/9/2021,8,28,"3,490","3,131",57,37
GA,4/9/2021,31,36,"1,396","1,104",32,7
HI,4/9/2021,1,2,63,52,3,0
IA,4/9/2021,2,2,226,214,4,4
ID,4/9/2021,4,4,160,140,2,1
IL,4/9/2021,10,10,"1,838","1,578",31,17
IN,4/9/2021,11,11,866,574,23,6
KS,4/9/2021,13,14,167,146,4,1
KY,4/9/2021,0,4,389,324,18,4
LA,4/9/2021,42,46,266,325,7,2
MA,4/9/2021,11,10,621,519,22,12
MD,4/9/2021,5,2,"1,468","1,212",18,12
ME,4/9/2021,4,2,81,68,2,1
MI,4/9/2021,14,16,"3,791","3,621",58,41
MN,4/9/2021,14,14,706,609,13,9
MO,4/9/2021,24,27,765,512,38,9
MS,4/9/2021,10,12,243,179,11,4
MT,4/9/2021,6,6,46,47,0,0
NC,4/9/2021,3,5,"1,006",920,30,21
ND,4/9/2021,12,12,98,67,4,0
NE,4/9/2021,7,13,196,182,4,4
NH,4/9/2021,3,4,118,103,2,1
NJ,4/9/2021,8,8,"2,404","2,229",33,6
NM,4/9/2021,15,17,123,115,7,2
NV,4/9/2021,0,0,309,270,3,2
NY,4/9/2021,4,4,"4,958","4,437",89,51
OH,4/9/2021,11,17,"1,536","1,184",116,20
OK,4/9/2021,27,30,258,209,27,26
OR,4/9/2021,2,2,229,157,9,6
PA,4/9/2021,19,24,"2,851","2,473",47,26
PR,4/9/2021,4,6,334,288,38,20
RI,4/9/2021,4,4,185,149,2,2
SC,4/9/2021,21,21,516,468,6,6
SD,4/9/2021,0,1,98,74,4,2
TN,4/9/2021,11,30,725,667,10,8
TX,4/9/2021,99,116,"3,268","2,790",89,39
UT,4/9/2021,0,0,133,129,6,0
VA,4/9/2021,15,19,"1,053",912,15,11
VI,4/9/2021,2,2,5,5,0,0
VT,4/9/2021,1,1,30,26,0,0
WA,4/9/2021,9,8,625,393,45,6
WI,4/9/2021,10,13,361,328,11,3
WV,4/9/2021,12,15,297,278,5,3
WY,4/9/2021,2,4,24,19,1,1
AK,4/8/2021,1,1,48,45,5,1
AL,4/8/2021,25,28,415,334,7,4
AR,4/8/2021,14,17,185,119,4,0
AZ,4/8/2021,23,27,603,378,14,8
CA,4/8/2021,69,82,"2,115","1,846",56,43
CO,4/8/2021,6,6,464,412,24,8
CT,4/8/2021,4,4,592,540,8,4
DC,4/8/2021,0,0,167,137,26,8
DE,4/8/2021,1,1,203,154,8,4
FL,4/8/2021,8,28,"3,438","3,137",63,41
GA,4/8/2021,29,36,"1,422","1,131",34,5
HI,4/8/2021,1,2,56,45,1,0
IA,4/8/2021,1,1,229,226,6,2
ID,4/8/2021,3,3,161,149,2,1
IL,4/8/2021,10,12,"1,804","1,508",34,15
IN,4/8/2021,11,12,774,572,20,5
KS,4/8/2021,14,15,176,147,3,0
KY,4/8/2021,0,4,395,332,14,5
LA,4/8/2021,41,46,266,331,1,1
MA,4/8/2021,11,10,641,545,24,16
MD,4/8/2021,3,2,"1,468","1,220",19,12
ME,4/8/2021,3,2,89,75,3,2
