critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
2,2,45,43,0,0
25,27,408,334,12,5
18,21,187,132,5,0
23,25,568,356,15,9
68,81,2130,1848,46,35
7,6,467,421,19,9
4,4,585,522,10,5
0,0,168,132,17,7
0,0,189,144,10,5
8,28,3490,3131,57,37
31,36,1396,1104,32,7
1,2,63,52,3,0
2,2,226,214,4,4
4,4,160,140,2,1
10,10,1837,1578,31,17
11,11,866,574,23,6
12,13,167,146,4,1
0,4,389,324,18,4
42,46,266,325,7,2
11,10,621,519,22,12
5,2,1468,1212,18,12
4,2,81,68,2,1
14,16,3791,3621,58,41
14,14,706,609,13,9
24,27,753,500,38,9
10,12,243,179,11,4
6,6,46,47,0,0
3,5,1006,920,30,21
12,12,98,67,4,0
7,13,196,182,4,4
3,4,118,103,2,1
8,8,2404,2229,33,6
15,17,123,115,7,2
0,0,309,270,3,2
4,4,4958,4437,89,51
11,17,1536,1184,116,20
27,30,250,201,27,26
2,2,229,157,9,6
19,24,2842,2464,47,26
4,6,334,288,38,20
4,4,185,149,2,2
21,21,516,468,6,6
0,1,98,74,4,2
11,30,725,667,10,8
0,0,133,129,6,0
15,19,1053,912,15,11
2,2,5,5,0,0
1,1,30,26,0,0
9,8,625,393,45,6
10,13,361,328,11,3
12,15,297,278,5,3
2,4,24,19,1,1
2,2,45,43,0,0
25,27,408,334,12,5
18,21,187,132,5,0
23,25,568,356,15,9
68,81,2130,1848,46,35
7,6,467,421,19,9
4,4,585,522,10,5
0,0,168,132,17,7
0,0,189,144,10,5
8,28,3490,3131,57,37
31,36,1396,1104,32,7
1,2,63,52,3,0
2,2,226,214,4,4
4,4,160,140,2,1
10,10,1838,1578,31,17
11,11,866,574,23,6
13,14,167,146,4,1
0,4,389,324,18,4
42,46,266,325,7,2
