state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid,state,date,critical_staffing_shortage_today_yes_wkLtr,critical_staffing_shortage_anticipated_within_week_yes
AK,4/3/2021,1,1,0,0,37,40,AK,4/10/2021,2,2
AL,4/3/2021,24,28,8,9,335,443,AL,4/10/2021,25,27
AR,4/3/2021,13,17,2,5,119,159,AR,4/10/2021,18,21
AZ,4/3/2021,26,27,9,15,350,540,AZ,4/10/2021,23,25
CA,4/3/2021,70,83,41,57,2021,2360,CA,4/10/2021,68,81
CO,4/3/2021,6,7,12,18,337,402,CO,4/10/2021,7,6
CT,4/3/2021,4,4,5,9,492,560,CT,4/10/2021,4,4
DC,4/3/2021,0,0,9,23,126,156,DC,4/10/2021,0,0
DE,4/3/2021,1,1,4,5,136,166,DE,4/10/2021,0,0
FL,4/3/2021,11,31,56,84,2917,3235,FL,4/10/2021,8,28
GA,4/3/2021,28,35,9,26,1059,1234,GA,4/10/2021,31,36
HI,4/3/2021,1,1,0,2,42,56,HI,4/10/2021,1,2
IA,4/3/2021,2,2,4,6,196,201,IA,4/10/2021,2,2
ID,4/3/2021,4,4,0,1,153,169,ID,4/10/2021,4,4
IL,4/3/2021,11,9,17,35,1288,1511,IL,4/10/2021,10,10
IN,4/3/2021,10,10,5,17,502,713,IN,4/10/2021,11,11
KS,4/3/2021,10,14,2,3,153,186,KS,4/10/2021,12,13
KY,4/3/2021,0,4,6,19,303,372,KY,4/10/2021,0,4
LA,4/3/2021,42,46,1,2,355,295,LA,4/10/2021,42,46
MA,4/3/2021,10,9,8,11,557,646,MA,4/10/2021,11,10
MD,4/3/2021,3,3,9,18,1115,1377,MD,4/10/2021,5,2
ME,4/3/2021,1,2,2,2,78,89,ME,4/10/2021,4,2
MI,4/3/2021,3,3,26,40,2755,2928,MI,4/10/2021,14,16
MN,4/3/2021,15,15,9,12,461,545,MN,4/10/2021,14,14
MO,4/3/2021,21,24,10,35,452,669,MO,4/10/2021,24,27
MS,4/3/2021,9,11,5,11,162,203,MS,4/10/2021,10,12
MT,4/3/2021,6,6,0,2,37,37,MT,4/10/2021,6,6
NC,4/3/2021,3,4,12,15,877,941,NC,4/10/2021,3,5
ND,4/3/2021,11,11,1,5,50,84,ND,4/10/2021,12,12
NE,4/3/2021,10,16,2,2,131,142,NE,4/10/2021,7,13
NH,4/3/2021,2,3,0,1,84,93,NH,4/10/2021,3,4
NJ,4/3/2021,9,9,7,24,2163,2342,NJ,4/10/2021,8,8
NM,4/3/2021,15,16,1,3,95,97,NM,4/10/2021,15,17
NV,4/3/2021,0,0,4,4,230,264,NV,4/10/2021,0,0
NY,4/3/2021,3,4,48,88,4516,5005,NY,4/10/2021,4,4
OH,4/3/2021,11,17,17,90,1020,1300,OH,4/10/2021,11,17
OK,4/3/2021,30,33,28,30,239,280,OK,4/10/2021,27,30
OR,4/3/2021,3,4,7,11,154,212,OR,4/10/2021,2,2
PA,4/3/2021,20,24,34,56,2171,2536,PA,4/10/2021,19,24
PR,4/3/2021,0,0,14,22,205,233,PR,4/10/2021,4,6
RI,4/3/2021,3,3,3,3,141,176,RI,4/10/2021,4,4
SC,4/3/2021,21,21,2,4,469,504,SC,4/10/2021,21,21
SD,4/3/2021,1,1,1,4,62,85,SD,4/10/2021,0,1
