critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes
1,1
24,28
13,17
26,27
70,83
6,7
4,4
0,0
1,1
11,31
28,35
1,1
2,2
4,4
11,9
10,10
10,14
0,4
42,46
10,9
3,3
1,2
3,3
15,15
21,24
9,11
6,6
3,4
11,11
10,16
2,3
9,9
15,16
0,0
3,4
11,17
30,33
3,4
20,24
0,0
3,3
21,21
1,1
13,32
107,123
0,0
15,21
2,2
1,1
9,8
10,15
15,16
4,5
1,1
27,29
15,19
25,26
70,80
6,7
4,4
0,0
1,1
10,30
30,37
1,1
3,3
4,4
9,10
11,12
12,13
0,3
42,46
10,9
3,3
3,2
3,3
17,16
24,27
10,12
6,7
3,4
12,12
10,16
4,5
7,8
15,16
0,0
5,5
10,18
31,35
3,3
19,25
0,0
3,3
21,21
1,1
14,32
107,125
0,0
16,21
1,1
1,1
9,10
8,12
14,16
4,5
1,1
27,29
13,15
26,26
69,81
4,6
4,4
0,0
1,1
10,30
30,37
1,2
1,2
3,4
9,10
11,12
11,12
1,4
42,46
10,9
2,2
3,1
3,3
16,16
22,24
9,12
6,8
2,3
11,11
9,16
4,5
7,7
16,16
0,0
4,4
10,15
30,34
2,4
18,25
0,0
3,3
21,21
1,1
12,31
103,123
0,0
16,21
1,1
1,1
12,10
10,13
14,15
4,5
2,2
28,30
17,22
26,28
69,84
6,5
4,4
0,0
1,1
11,28
30,36
1,2
2,2
3,4
9,10
11,11
12,14
1,3
42,46
10,9
2,1
2,2
3,3
15,15
22,27
8,12
7,7
3,5
12,12
9,16
5,5
7,10
17,17
0,0
4,5
8,13
31,36
4,5
19,24
7,7
3,3
22,22
1,1
17,35
104,122
0,0
16,23
2,2
2,1
7,10
9,13
14,15
3,4
1,2
26,29
13,16
27,26
67,85
5,4
4,4
0,0
0,0
6,24
29,35
2,3
1,1
2,3
9,8
10,10
9,12
1,3
42,46
8,6
1,1
1,1
3,3
16,15
23,27
9,11
6,7
3,3
11,11
10,16
4,5
6,5
15,16
0,0
5,5
8,14
29,32
3,2
19,22
0,0
3,3
20,20
0,0
17,37
104,122
1,0
15,22
1,1
2,1
8,9
11,14
13,16
3,4
1,1
24,28
15,19
26,28
69,85
5,4
4,4
0,0
0,0
9,25
30,35
1,2
1,1
2,3
13,15
9,10
11,13
1,3
43,47
7,6
1,1
1,0
3,3
17,17
24,26
9,11
6,7
3,3
11,11
8,15
3,4
5,7
14,14
0,0
4,5
9,14
30,35
3,2
18,21
0,0
3,3
20,20
1,1
15,35
105,123
0,0
16,23
2,2
1,1
7,9
9,14
13,16
3,4
1,1
24,27
13,16
27,27
73,87
7,6
4,4
0,0
0,0
10,27
29,34
1,1
1,1
4,4
12,15
9,11
11,14
1,4
43,47
10,9
2,2
1,2
2,3
16,16
22,26
9,12
6,6
2,3
12,12
8,16
4,4
8,10
15,15
0,0
4,5
10,16
31,34
